task,subject_id,session,condition,accuracy
PC,8026,3.0,1,88.88888888888889
PC,8026,3.0,2,95.83333333333334
PC,9023,2.0,1,88.0
PC,9023,2.0,2,95.0
PC,8067,1.0,1,80.76923076923077
PC,8067,1.0,2,91.30434782608695
PC,9031,1.0,1,88.88888888888889
PC,9031,1.0,2,95.23809523809523
PC,8064,1.0,1,96.15384615384616
PC,8064,1.0,2,83.33333333333334
PC,8068,1.0,1,90.9090909090909
PC,8068,1.0,2,82.35294117647058
PC,9015,3.0,1,88.23529411764706
PC,9015,3.0,2,92.0
PC,8009,2.0,1,93.75
PC,8009,2.0,2,92.3076923076923
PC,8018,3.0,1,95.45454545454545
PC,8018,3.0,2,94.11764705882352
PC,9999,,1,94.44444444444444
PC,9999,,2,80.0
PC,8058,2.0,1,100.0
PC,8058,2.0,2,79.3103448275862
PC,7176,1.0,1,84.375
PC,7176,1.0,2,76.92307692307693
PC,7186,1.0,1,93.33333333333333
PC,7186,1.0,2,95.45454545454545
PC,7188,1.0,1,93.33333333333333
PC,7188,1.0,2,91.66666666666666
PC,7197,1.0,1,92.3076923076923
PC,7197,1.0,2,95.23809523809523
PC,7201,1.0,1,94.44444444444444
PC,7201,1.0,2,92.3076923076923
PC,7181,1.0,1,90.0
PC,7181,1.0,2,79.3103448275862
PC,7215,1.0,1,86.36363636363636
PC,7215,1.0,2,94.11764705882352
PC,7055,1.0,1,80.0
PC,7055,1.0,2,85.0
PC,7208,1.0,1,92.0
PC,7208,1.0,2,95.23809523809523
PC,7214,1.0,1,96.55172413793103
PC,7214,1.0,2,95.83333333333334
PC,7219,1.0,1,92.0
PC,7219,1.0,2,87.5
PC,7199,1.0,1,85.71428571428571
PC,7199,1.0,2,86.36363636363636
PC,7171,1.0,1,97.14285714285714
PC,7171,1.0,2,95.83333333333334
PC,7223,1.0,1,96.15384615384616
PC,7223,1.0,2,85.71428571428571
PC,9999,1.0,1,83.33333333333334
PC,7700,1.0,1,95.23809523809523
PC,7700,1.0,2,90.9090909090909
PC,7701,1.0,1,95.83333333333334
PC,7701,1.0,2,90.0
PC,7703,1.0,1,83.33333333333334
PC,7703,1.0,2,89.47368421052632
PC,7231,1.0,1,86.95652173913044
PC,7231,1.0,2,90.9090909090909
PC,7238,1.0,1,92.5925925925926
PC,7238,1.0,2,90.47619047619048
PC,7233,1.0,1,90.47619047619048
PC,7233,1.0,2,94.11764705882352
PC,9005,3.0,1,80.76923076923077
PC,9005,3.0,2,84.21052631578947
PC,8053,2.0,1,90.0
PC,8053,2.0,2,91.66666666666666
PC,8040,2.0,1,92.3076923076923
PC,8040,2.0,2,95.0
PC,8050,2.0,1,85.29411764705883
PC,8050,2.0,2,95.65217391304348
PC,8019,3.0,1,96.55172413793103
PC,8019,3.0,2,76.0
PC,8009,1.0,1,96.66666666666667
PC,8009,1.0,2,92.0
PC,9010,2.0,1,86.11111111111111
PC,9010,2.0,2,70.0
PC,9019,2.0,1,96.29629629629629
PC,9019,2.0,2,75.0
PC,9017,2.0,1,89.65517241379311
PC,9017,2.0,2,91.66666666666666
PC,8063,1.0,1,89.28571428571429
PC,8063,1.0,2,82.6086956521739
PC,8016,3.0,1,88.88888888888889
PC,8016,3.0,2,93.33333333333333
PC,8014,3.0,1,93.10344827586206
PC,8014,3.0,2,95.65217391304348
PC,9013,3.0,1,93.54838709677419
PC,9013,3.0,2,88.0
PC,8048,2.0,1,95.65217391304348
PC,8048,2.0,2,95.45454545454545
PC,8060,2.0,1,96.875
PC,8060,2.0,2,92.0
PC,8070,1.0,1,93.54838709677419
PC,8070,1.0,2,85.18518518518519
PC,8074,1.0,1,88.46153846153845
PC,8074,1.0,2,70.0
PC,8069,1.0,1,96.15384615384616
PC,8069,1.0,2,94.11764705882352
PC,8075,1.0,1,93.10344827586206
PC,8075,1.0,2,95.83333333333334
PC,9033,1.0,1,84.61538461538461
PC,9033,1.0,2,86.95652173913044
PC,8039,3.0,1,93.93939393939394
PC,8039,3.0,2,86.66666666666667
PC,8073,,1,88.57142857142857
PC,8073,,2,89.28571428571429
PC,9029,1.0,1,91.66666666666666
PC,9029,1.0,2,95.0
PC,7177,1.0,1,88.46153846153845
PC,7177,1.0,2,91.30434782608695
PC,7192,1.0,1,96.7741935483871
PC,7192,1.0,2,90.9090909090909
PC,7191,1.0,1,82.6086956521739
PC,7191,1.0,2,87.5
PC,7183,1.0,1,90.0
PC,7183,1.0,2,88.0
PC,7190,1.0,1,82.14285714285714
PC,7190,1.0,2,72.72727272727273
PC,7194,1.0,1,95.83333333333334
PC,7194,1.0,2,94.73684210526315
PC,7203,1.0,1,90.9090909090909
PC,7203,1.0,2,94.44444444444444
PC,7206,1.0,1,82.14285714285714
PC,7206,1.0,2,88.23529411764706
PC,7207,1.0,1,91.30434782608695
PC,7207,1.0,2,93.75
PC,7216,1.0,1,86.66666666666667
PC,7216,1.0,2,82.6086956521739
PC,7212,1.0,1,80.76923076923077
PC,7212,1.0,2,71.42857142857143
PC,7195,1.0,1,92.0
PC,7195,1.0,2,86.95652173913044
PC,7213,1.0,1,95.45454545454545
PC,7213,1.0,2,95.0
PC,7225,1.0,1,88.0
PC,7225,1.0,2,85.0
PC,7220,1.0,1,95.65217391304348
PC,7220,1.0,2,90.47619047619048
PC,7702,1.0,1,95.83333333333334
PC,7702,1.0,2,87.5
PC,7222,1.0,1,92.0
PC,7222,1.0,2,95.0
PC,7704,,1,84.61538461538461
PC,7704,,2,88.88888888888889
PC,7234,1.0,1,96.42857142857143
PC,7234,1.0,2,95.65217391304348
PC,9023,1.0,1,87.09677419354838
PC,9023,1.0,2,84.61538461538461
PC,9024,1.0,1,78.57142857142857
PC,9024,1.0,2,81.25
PC,9015,2.0,1,96.29629629629629
PC,9015,2.0,2,95.45454545454545
PC,8020,3.0,1,94.73684210526315
PC,8020,3.0,2,92.85714285714286
PC,8061,1.0,1,93.33333333333333
PC,8061,1.0,2,89.28571428571429
PC,8031,3.0,1,93.33333333333333
PC,8031,3.0,2,91.66666666666666
PC,8017,3.0,1,88.88888888888889
PC,8017,3.0,2,86.36363636363636
PC,8036,2.0,1,72.0
PC,8036,2.0,2,75.0
PC,8032,2.0,1,92.3076923076923
PC,8032,2.0,2,95.23809523809523
PC,8052,2.0,1,89.65517241379311
PC,8052,2.0,2,84.0
PC,8030,3.0,1,81.25
PC,8030,3.0,2,91.30434782608695
PC,9021,2.0,1,80.95238095238095
PC,9021,2.0,2,88.88888888888889
PC,8058,1.0,1,96.96969696969697
PC,8058,1.0,2,73.33333333333333
PC,8065,1.0,1,92.85714285714286
PC,8065,1.0,2,90.47619047619048
PC,8012,3.0,1,94.11764705882352
PC,8012,3.0,2,95.83333333333334
PC,8056,2.0,1,94.11764705882352
PC,8056,2.0,2,96.0
PC,9028,1.0,1,90.32258064516128
PC,9028,1.0,2,80.76923076923077
PC,9034,1.0,1,89.28571428571429
PC,9034,1.0,2,86.36363636363636
PC,8047,3.0,1,86.66666666666667
PC,8047,3.0,2,95.65217391304348
PC,8023,1.0,1,96.0
PC,8023,1.0,2,95.23809523809523
PC,8072,1.0,1,90.47619047619048
PC,8072,1.0,2,88.23529411764706
PC,8063,2.0,1,93.75
PC,8063,2.0,2,91.30434782608695
PC,8076,1.0,1,92.3076923076923
PC,8076,1.0,2,95.0
PC,7182,1.0,1,91.66666666666666
PC,7182,1.0,2,88.23529411764706
PC,7189,1.0,1,92.0
PC,7189,1.0,2,90.47619047619048
PC,7173,1.0,1,96.0
PC,7173,1.0,2,95.23809523809523
PC,7187,1.0,1,88.88888888888889
PC,7187,1.0,2,75.0
PC,7196,1.0,1,95.23809523809523
PC,7196,1.0,2,91.66666666666666
PC,7200,1.0,1,89.65517241379311
PC,7200,1.0,2,95.23809523809523
PC,7211,1.0,1,76.0
PC,7211,1.0,2,86.95652173913044
PC,7209,1.0,1,79.3103448275862
PC,7209,1.0,2,73.07692307692307
PC,7204,1.0,1,96.15384615384616
PC,7204,1.0,2,94.11764705882352
PC,7218,1.0,1,76.19047619047619
PC,7218,1.0,2,83.33333333333334
PC,7221,1.0,1,88.46153846153845
PC,7221,1.0,2,91.30434782608695
PC,7202,1.0,1,81.25
PC,7202,1.0,2,85.71428571428571
PC,7226,1.0,1,94.11764705882352
PC,7226,1.0,2,86.95652173913044
PC,7227,1.0,1,96.15384615384616
PC,7227,1.0,2,95.23809523809523
PC,7205,1.0,1,91.66666666666666
PC,7205,1.0,2,85.0
PC,7230,1.0,1,92.0
PC,7230,1.0,2,89.47368421052632
PC,7235,1.0,1,96.42857142857143
PC,7235,1.0,2,88.46153846153845
LC,8039,2.0,1,95.83333333333334
LC,8039,2.0,2,83.33333333333334
LC,8060,1.0,1,90.0
LC,8060,1.0,2,85.71428571428571
LC,8047,2.0,1,76.19047619047619
LC,8047,2.0,2,63.63636363636363
LC,8011,3.0,1,92.3076923076923
LC,8011,3.0,2,83.33333333333334
LC,8038,2.0,1,74.07407407407408
LC,8038,2.0,2,75.0
LC,8046,2.0,1,86.95652173913044
LC,8046,2.0,2,82.35294117647058
LC,8023,2.0,1,95.0
LC,8023,2.0,2,90.9090909090909
LC,8037,2.0,1,75.0
LC,8037,2.0,2,68.42105263157895
LC,9009,3.0,1,86.36363636363636
LC,9009,3.0,2,80.95238095238095
LC,8054,2.0,1,76.19047619047619
LC,8054,2.0,2,68.75
LC,9024,2.0,1,95.83333333333334
LC,9024,2.0,2,69.23076923076923
LC,8051,2.0,1,86.36363636363636
LC,8051,2.0,2,92.85714285714286
LC,8035,3.0,1,89.47368421052632
LC,8035,3.0,2,81.81818181818183
LC,8026,3.0,1,90.9090909090909
LC,8026,3.0,2,71.42857142857143
LC,9023,2.0,1,86.95652173913044
LC,9023,2.0,2,82.35294117647058
LC,8067,1.0,1,78.26086956521739
LC,8067,1.0,2,66.66666666666666
LC,9031,1.0,1,94.73684210526315
LC,9031,1.0,2,84.61538461538461
LC,8064,1.0,1,95.0
LC,8064,1.0,2,83.33333333333334
LC,8068,1.0,1,93.33333333333333
LC,8068,1.0,2,50.0
LC,9015,3.0,1,88.46153846153845
LC,9015,3.0,2,87.5
LC,8009,2.0,1,95.83333333333334
LC,8009,2.0,2,81.25
LC,8018,3.0,1,89.47368421052632
LC,8018,3.0,2,75.0
LC,9999,,1,74.07407407407408
LC,9999,,2,61.904761904761905
LC,8058,2.0,1,87.5
LC,8058,2.0,2,82.35294117647058
LC,7176,1.0,1,79.16666666666666
LC,7176,1.0,2,73.68421052631578
LC,7186,1.0,1,75.0
LC,7186,1.0,2,71.42857142857143
LC,7188,1.0,1,95.23809523809523
LC,7188,1.0,2,88.23529411764706
LC,7197,1.0,1,95.23809523809523
LC,7197,1.0,2,75.0
LC,7201,1.0,1,94.44444444444444
LC,7201,1.0,2,90.9090909090909
LC,7181,1.0,1,84.61538461538461
LC,7181,1.0,2,80.95238095238095
LC,7215,1.0,1,94.73684210526315
LC,7215,1.0,2,84.61538461538461
LC,7055,1.0,1,77.77777777777779
LC,7055,1.0,2,69.23076923076923
LC,7208,1.0,1,78.94736842105263
LC,7208,1.0,2,90.9090909090909
LC,7214,1.0,1,86.36363636363636
LC,7214,1.0,2,81.81818181818183
LC,7219,1.0,1,93.75
LC,7219,1.0,2,88.88888888888889
LC,7199,1.0,1,83.33333333333334
LC,7199,1.0,2,72.72727272727273
LC,7171,1.0,1,95.65217391304348
LC,7171,1.0,2,87.5
LC,7223,1.0,1,75.0
LC,7223,1.0,2,66.66666666666666
LC,7700,1.0,1,92.3076923076923
LC,7700,1.0,2,87.5
LC,7701,1.0,1,94.73684210526315
LC,7701,1.0,2,83.33333333333334
LC,7703,1.0,1,81.81818181818183
LC,7703,1.0,2,69.23076923076923
LC,7231,1.0,1,90.0
LC,7231,1.0,2,80.0
LC,7238,1.0,1,90.0
LC,7238,1.0,2,53.84615384615385
LC,7233,1.0,1,94.44444444444444
LC,7233,1.0,2,90.0
LC,9005,3.0,1,95.45454545454545
LC,9005,3.0,2,80.0
LC,8053,2.0,1,77.27272727272727
LC,8053,2.0,2,55.55555555555556
LC,8040,2.0,1,70.0
LC,8040,2.0,2,65.0
LC,8050,2.0,1,85.71428571428571
LC,8050,2.0,2,85.71428571428571
LC,8019,3.0,1,91.66666666666666
LC,8019,3.0,2,75.0
LC,8009,1.0,1,91.66666666666666
LC,8009,1.0,2,75.0
LC,9010,2.0,1,83.33333333333334
LC,9010,2.0,2,71.42857142857143
LC,9019,2.0,1,96.29629629629629
LC,9019,2.0,2,89.47368421052632
LC,9017,2.0,1,90.9090909090909
LC,9017,2.0,2,60.0
LC,8063,1.0,1,90.0
LC,8063,1.0,2,87.5
LC,8016,3.0,1,94.44444444444444
LC,8016,3.0,2,90.0
LC,8014,3.0,1,85.0
LC,8014,3.0,2,85.71428571428571
LC,9013,3.0,1,95.45454545454545
LC,9013,3.0,2,85.71428571428571
LC,8048,2.0,1,90.0
