task,subject_id,session,condition,accuracy,mean_rt
AF,7072,1,con,84.72222222222221,540.9305555555555
AF,7072,1,inc,86.11111111111111,565.0972222222222
AF,7073,1,con,98.61111111111111,818.2361111111111
AF,7073,1,inc,95.83333333333334,821.4583333333334
AF,7075,1,con,94.44444444444444,765.0555555555555
AF,7075,1,inc,93.05555555555556,731.2638888888889
AF,7076,1,con,98.61111111111111,616.4444444444445
AF,7076,1,inc,95.83333333333334,661.6111111111111
AF,7077,1,con,100.0,663.6944444444445
AF,7077,1,inc,100.0,678.7361111111111
AF,7078,1,con,91.25,690.8375
AF,7078,1,inc,90.0,779.375
AF,7079,1,con,86.11111111111111,577.75
AF,7079,1,inc,91.66666666666666,612.5
AF,7080,1,con,98.61111111111111,651.9583333333334
AF,7080,1,inc,97.22222222222221,654.0555555555555
AF,7082,1,con,98.61111111111111,592.2222222222222
AF,7082,1,inc,98.61111111111111,637.1666666666666
AF,7083,1,con,98.61111111111111,631.3472222222222
AF,7083,1,inc,100.0,612.6111111111111
AF,7084,1,con,100.0,556.3194444444445
AF,7084,1,inc,100.0,650.625
AF,7085,1,con,97.22222222222221,737.1666666666666
AF,7085,1,inc,91.66666666666666,696.8472222222222
AF,7086,1,con,88.75,550.9125
AF,7086,1,inc,91.25,582.225
AF,7087,1,con,95.83333333333334,570.9861111111111
AF,7087,1,inc,98.61111111111111,596.4722222222222
AF,7088,1,con,93.05555555555556,624.2361111111111
AF,7088,1,inc,98.61111111111111,644.7222222222222
AF,7089,1,con,95.83333333333334,512.3472222222222
AF,7089,1,inc,95.83333333333334,563.2361111111111
AF,7090,1,con,98.61111111111111,473.2638888888889
AF,7090,1,inc,100.0,523.2916666666666
AF,7091,1,con,91.66666666666666,505.25
AF,7091,1,inc,97.22222222222221,614.0277777777778
AF,7092,1,con,93.05555555555556,757.7083333333334
AF,7092,1,inc,91.66666666666666,799.75
AF,7093,1,con,97.22222222222221,646.6527777777778
AF,7093,1,inc,100.0,658.3611111111111
AF,7094,1,con,95.83333333333334,745.3888888888889
AF,7094,1,inc,100.0,778.8055555555555
AF,7096,1,con,95.83333333333334,513.7638888888889
AF,7096,1,inc,97.22222222222221,627.8611111111111
AF,7097,1,con,95.83333333333334,641.9722222222222
AF,7097,1,inc,97.22222222222221,695.125
AF,7098,1,con,95.83333333333334,699.0416666666666
AF,7098,1,inc,100.0,724.9722222222222
AF,7099,1,con,95.83333333333334,479.84722222222223
AF,7099,1,inc,100.0,560.2916666666666
AF,7102,1,con,95.83333333333334,820.9444444444445
AF,7102,1,inc,97.22222222222221,783.1944444444445
AF,7103,1,con,95.83333333333334,555.0972222222222
AF,7103,1,inc,98.61111111111111,604.1944444444445
AF,7104,1,con,95.83333333333334,597.9722222222222
AF,7104,1,inc,93.05555555555556,634.5555555555555
AF,7105,1,con,98.61111111111111,552.5138888888889
AF,7105,1,inc,98.61111111111111,641.6388888888889
AF,7106,1,con,97.22222222222221,619.8888888888889
AF,7106,1,inc,98.61111111111111,705.1111111111111
AF,7107,1,con,98.61111111111111,591.9027777777778
AF,7107,1,inc,100.0,674.1805555555555
AF,7108,1,con,98.61111111111111,457.06944444444446
AF,7108,1,inc,100.0,481.4861111111111
AF,7109,1,con,95.83333333333334,740.8472222222222
AF,7109,1,inc,98.61111111111111,753.4027777777778
AF,7110,1,con,87.5,537.875
AF,7110,1,inc,94.44444444444444,583.5694444444445
AF,7111,1,con,97.22222222222221,820.8333333333334
AF,7111,1,inc,100.0,734.0694444444445
AF,7112,1,con,91.25,857.075
AF,7112,1,inc,88.75,921.3375
AF,7113,1,con,93.05555555555556,614.6527777777778
AF,7113,1,inc,97.22222222222221,713.4305555555555
AF,7114,1,con,90.27777777777779,543.0694444444445
AF,7114,1,inc,97.22222222222221,595.625
AF,7115,1,con,97.22222222222221,526.9166666666666
AF,7115,1,inc,95.83333333333334,567.6944444444445
AF,7116,1,con,95.83333333333334,569.875
AF,7116,1,inc,84.72222222222221,583.5555555555555
AF,7117,1,con,90.27777777777779,737.6666666666666
AF,7117,1,inc,93.05555555555556,699.0972222222222
AF,7118,1,con,97.22222222222221,549.4861111111111
AF,7118,1,inc,95.83333333333334,609.375
AF,7120,1,con,94.44444444444444,579.6944444444445
AF,7120,1,inc,94.44444444444444,615.0416666666666
AF,7123,1,con,95.83333333333334,559.5416666666666
AF,7123,1,inc,97.22222222222221,676.5138888888889
AF,7124,1,con,63.541666666666664,606.28125
AF,7124,1,inc,63.541666666666664,585.6041666666666
AF,7125,1,con,54.166666666666664,1194.8472222222222
AF,7125,1,inc,54.166666666666664,1229.9027777777778
AF,7126,1,con,86.11111111111111,615.4722222222222
AF,7126,1,inc,90.27777777777779,646.9027777777778
AF,7128,1,con,83.33333333333334,778.7638888888889
AF,7128,1,inc,87.5,785.6111111111111
AF,7129,1,con,97.22222222222221,696.1111111111111
AF,7129,1,inc,100.0,706.2222222222222
AF,7130,1,con,93.05555555555556,810.375
AF,7130,1,inc,94.44444444444444,826.2916666666666
AF,7131,1,con,95.83333333333334,667.0972222222222
AF,7131,1,inc,95.83333333333334,691.3888888888889
AF,7132,1,con,93.05555555555556,474.97222222222223
AF,7132,1,inc,97.22222222222221,533.7361111111111
AF,7133,1,con,95.83333333333334,639.0277777777778
AF,7133,1,inc,98.61111111111111,719.2638888888889
AF,7134,1,con,94.44444444444444,553.375
AF,7134,1,inc,94.44444444444444,665.2777777777778
AF,7136,1,con,93.05555555555556,684.2083333333334
AF,7136,1,inc,94.44444444444444,728.375
AF,7137,1,con,93.05555555555556,466.65277777777777
AF,7137,1,inc,91.66666666666666,570.3472222222222
AF,7138,1,con,95.83333333333334,691.125
AF,7138,1,inc,94.44444444444444,689.4583333333334
AF,7139,1,con,100.0,829.5833333333334
AF,7139,1,inc,100.0,835.2638888888889
AF,7140,1,con,98.61111111111111,580.0
AF,7140,1,inc,93.05555555555556,628.1805555555555
AF,7141,1,con,93.05555555555556,537.125
AF,7141,1,inc,93.05555555555556,628.5138888888889
