task,subject_id,session,condition,count_correct,mean_rt,accuracy
FN,7250,1,1,64,1442.6666666666667,79.01234567901234
FN,7250,1,2,6,2362.6666666666665,66.66666666666666
FN,7251,1,1,70,1086.0864197530864,86.41975308641975
FN,7251,1,2,7,1517.6666666666667,77.77777777777779
FN,7252,1,1,69,1424.0987654320988,85.18518518518519
FN,7254,1,1,78,1693.79012345679,96.29629629629629
FN,7255,1,1,58,999.9506172839506,71.60493827160494
FN,7700,1,1,73,2047.4814814814815,90.12345679012346
FN,7701,1,1,62,2134.1975308641977,76.5432098765432
FN,7701,1,2,6,1879.4444444444443,66.66666666666666
FN,7702,1,1,68,1715.6049382716049,83.9506172839506
FN,7702,1,2,7,1933.0,77.77777777777779
FN,7703,1,1,69,1547.7283950617284,85.18518518518519
FN,7703,1,2,6,1544.5555555555557,66.66666666666666
FN,7704,nan,1,69,1788.9506172839506,85.18518518518519
FN,7705,1,1,72,1492.7530864197531,88.88888888888889
FN,7706,1,1,61,1543.037037037037,75.30864197530865
FN,7706,1,2,5,1547.111111111111,55.55555555555556
FN,7707,1,1,69,1556.9012345679012,85.18518518518519
FN,7707,1,2,7,2001.2222222222222,77.77777777777779
FN,7708,1,1,68,1761.2469135802469,83.9506172839506
FN,7709,1,1,73,1686.148148148148,90.12345679012346
FN,7710,1,1,67,1781.7777777777778,82.71604938271605
FN,7712,1,1,71,2307.0123456790125,87.65432098765432
FN,7712,1,2,8,2215.3333333333335,88.88888888888889
FN,7713,nan,1,71,1654.148148148148,87.65432098765432
FN,7714,1,1,73,2254.9876543209875,90.12345679012346
FN,7716,1,1,68,1606.79012345679,83.9506172839506
FN,7716,1,2,8,1707.3333333333333,88.88888888888889
FN,7717,nan,1,74,1717.2962962962963,91.35802469135803
FN,7718,1,1,63,1504.0864197530864,77.77777777777779
FN,7718,1,2,7,1889.3333333333333,77.77777777777779
FN,7721,nan,1,67,1520.7530864197531,82.71604938271605
FN,7721,nan,2,7,1606.111111111111,77.77777777777779
FN,7722,1,1,70,1735.8641975308642,86.41975308641975
FN,7723,nan,1,68,1766.5061728395062,83.9506172839506
FN,7723,nan,2,8,1851.0,88.88888888888889
FN,7724,1,1,70,2022.7530864197531,86.41975308641975
FN,7724,1,2,6,2152.777777777778,66.66666666666666
FN,7724,1,3,8,2059.6666666666665,88.88888888888889
FN,7726,1,1,67,1714.4567901234568,82.71604938271605
FN,7727,1,1,60,1999.5802469135801,74.07407407407408
FN,7727,1,2,8,1893.7777777777778,88.88888888888889
FN,7728,1,1,62,1740.5555555555557,76.5432098765432
FN,7729,1,1,65,1904.8395061728395,80.24691358024691
FN,7730,1,1,59,1445.1728395061727,72.8395061728395
FN,7730,1,2,6,2155.4444444444443,66.66666666666666
FN,7732,1,1,64,1914.2469135802469,79.01234567901234
FN,7733,1,1,64,1765.79012345679,79.01234567901234
FN,7734,1,1,66,1608.2962962962963,81.48148148148148
FN,7736,1,1,72,1454.4938271604938,88.88888888888889
FN,7738,1,1,72,1617.1851851851852,88.88888888888889
FN,7738,1,2,7,1576.888888888889,77.77777777777779
FN,7741,1,1,67,1348.6049382716049,82.71604938271605
FN,7741,1,2,6,1871.111111111111,66.66666666666666
FN,7742,1,1,70,1815.5802469135801,86.41975308641975
FN,7743,1,1,67,1760.7407407407406,82.71604938271605
FN,7743,1,2,6,2067.777777777778,66.66666666666666
FN,7743,1,3,7,1876.5555555555557,77.77777777777779
FN,7744,1,1,72,1556.0864197530864,88.88888888888889
FN,7745,1,1,68,1672.3086419753085,83.9506172839506
FN,7745,1,2,8,1549.7777777777778,88.88888888888889
FN,8000,1,1,69,1647.6296296296296,85.18518518518519
FN,8000,1,2,8,1700.6666666666667,88.88888888888889
FN,8000,2,1,70,1672.0123456790122,86.41975308641975
FN,8000,2,2,8,1403.3333333333333,88.88888888888889
FN,8000,3,1,74,2062.9506172839506,91.35802469135803
FN,8001,1,1,69,1527.3456790123457,85.18518518518519
FN,8002,1,1,69,1776.3703703703704,85.18518518518519
FN,8002,2,1,73,1542.148148148148,90.12345679012346
FN,8002,3,1,75,1285.432098765432,92.5925925925926
FN,8003,1,1,65,1251.4444444444443,80.24691358024691
FN,8003,1,2,8,1036.111111111111,88.88888888888889
FN,8003,2,1,64,1249.7037037037037,79.01234567901234
FN,8003,2,2,8,1796.111111111111,88.88888888888889
FN,8003,3,1,65,1028.20987654321,80.24691358024691
FN,8003,3,2,6,1625.888888888889,66.66666666666666
FN,8004,1,1,66,1403.8765432098764,81.48148148148148
FN,8004,1,2,7,1866.4444444444443,77.77777777777779
FN,8004,2,1,63,1644.716049382716,77.77777777777779
FN,8004,2,2,7,1477.888888888889,77.77777777777779
FN,8004,3,1,68,1151.679012345679,83.9506172839506
FN,8005,1,1,72,1544.9259259259259,88.88888888888889
FN,8005,1,2,8,1518.5555555555557,88.88888888888889
FN,8005,2,1,73,1130.851851851852,90.12345679012346
FN,8005,3,1,75,1220.7037037037037,92.5925925925926
FN,8006,1,1,67,1236.3703703703704,82.71604938271605
FN,8006,1,1,67,1236.3703703703704,82.71604938271605
FN,8006,2,1,61,996.8765432098766,75.30864197530865
FN,8006,2,1,61,996.8765432098766,75.30864197530865
FN,8006,3,1,63,824.5925925925926,77.77777777777779
FN,8008,1,1,69,1815.358024691358,85.18518518518519
FN,8008,1,2,8,1942.3333333333333,88.88888888888889
FN,8008,2,1,74,1460.358024691358,91.35802469135803
FN,8008,2,2,7,1724.7777777777778,77.77777777777779
FN,8008,3,1,71,1684.7283950617284,87.65432098765432
FN,8009,1,1,68,1402.716049382716,83.9506172839506
FN,8009,1,2,6,1241.0,66.66666666666666
FN,8009,2,1,69,1342.037037037037,85.18518518518519
FN,8011,1,1,73,1576.1975308641975,90.12345679012346
FN,8011,2,1,75,1394.432098765432,92.5925925925926
FN,8011,3,1,70,1555.1975308641975,86.41975308641975
FN,8012,1,1,69,1989.111111111111,85.18518518518519
FN,8012,1,1,69,1989.111111111111,85.18518518518519
FN,8012,1,2,9,1737.888888888889,100.0
FN,8012,1,2,9,1737.888888888889,100.0
FN,8012,2,1,71,1439.1358024691358,87.65432098765432
FN,8012,3,1,70,1543.9506172839506,86.41975308641975
FN,8014,1,1,67,1197.679012345679,82.71604938271605
FN,8014,1,2,6,1805.6666666666667,66.66666666666666
FN,8014,2,1,77,1538.2592592592594,95.06172839506173
FN,8014,3,1,74,1443.4197530864199,91.35802469135803
FN,8014,3,2,9,1306.3333333333333,100.0
FN,8015,1,1,59,1031.679012345679,72.8395061728395
FN,8015,1,2,5,1440.7777777777778,55.55555555555556
FN,8016,1,1,73,1210.2716049382716,90.12345679012346
FN,8016,1,2,8,1777.3333333333333,88.88888888888889
FN,8016,2,1,75,1337.641975308642,92.5925925925926
FN,8016,3,1,76,1613.0864197530864,93.82716049382715
FN,8017,1,1,66,947.6913580246913,81.48148148148148
FN,8017,1,2,8,1091.6666666666667,88.88888888888889
FN,8017,2,1,74,1121.851851851852,91.35802469135803
FN,8017,3,1,77,1153.9506172839506,95.06172839506173
FN,8018,1,1,66,1863.283950617284,81.48148148148148
FN,8018,1,2,7,2131.1111111111113,77.77777777777779
FN,8018,2,1,66,1859.4444444444443,81.48148148148148
FN,8018,3,1,65,2048.679012345679,80.24691358024691
FN,8019,1,1,70,1308.111111111111,86.41975308641975
FN,8019,3,1,73,1474.0617283950617,90.12345679012346
FN,8020,2,1,66,1889.4074074074074,81.48148148148148
FN,8020,3,1,71,1920.5802469135801,87.65432098765432
FN,8020,3,2,8,2409.4444444444443,88.88888888888889
FN,8021,1,1,71,1161.0123456790122,87.65432098765432
FN,8021,2,1,66,1273.4938271604938,81.48148148148148
FN,8021,2,2,6,1534.888888888889,66.66666666666666
FN,8022,1,1,68,1211.4074074074074,83.9506172839506
FN,8022,2,1,65,1509.9876543209878,80.24691358024691
FN,8022,3,1,70,1631.358024691358,86.41975308641975
FN,8023,1,1,73,1787.1358024691358,90.12345679012346
FN,8023,2,1,70,1743.0493827160494,86.41975308641975
FN,8023,3,1,72,1897.9382716049383,88.88888888888889
FN,8024,1,1,69,1679.0123456790122,85.18518518518519
FN,8024,2,1,69,1642.9259259259259,85.18518518518519
FN,8026,1,1,56,946.2098765432099,69.1358024691358
FN,8026,1,2,7,1401.3333333333333,77.77777777777779
FN,8026,2,1,41,903.0,50.617283950617285
FN,8026,2,2,5,1117.888888888889,55.55555555555556
FN,8026,3,1,48,888.5925925925926,59.25925925925925
FN,8027,2,1,70,1402.1851851851852,86.41975308641975
FN,8027,2,2,8,1650.0,88.88888888888889
FN,8030,1,1,69,1629.3086419753085,85.18518518518519
FN,8030,1,2,8,1479.111111111111,88.88888888888889
FN,8030,2,1,69,1560.5925925925926,85.18518518518519
FN,8030,3,1,69,1589.0617283950617,85.18518518518519
FN,8031,1,1,66,1153.20987654321,81.48148148148148
FN,8031,2,1,65,1088.1975308641975,80.24691358024691
FN,8031,3,1,68,1192.9382716049383,83.9506172839506
FN,8032,1,1,69,1673.679012345679,85.18518518518519
FN,8032,1,2,8,1525.2222222222222,88.88888888888889
FN,8032,2,1,72,1495.6543209876543,88.88888888888889
FN,8032,3,1,63,1290.716049382716,77.77777777777779
FN,8032,3,2,8,1433.111111111111,88.88888888888889
FN,8034,1,1,69,1235.5432098765432,85.18518518518519
FN,8034,1,2,8,1876.7777777777778,88.88888888888889
FN,8035,1,1,72,1952.2962962962963,88.88888888888889
FN,8035,2,1,73,1531.0864197530864,90.12345679012346
FN,8035,3,1,73,1577.469135802469,90.12345679012346
FN,8036,1,1,69,1088.0864197530864,85.18518518518519
FN,8036,2,1,65,1949.7777777777778,80.24691358024691
FN,8036,3,1,59,1506.3086419753085,72.8395061728395
FN,8037,1,1,65,1210.530864197531,80.24691358024691
FN,8037,2,1,69,1858.2592592592594,85.18518518518519
FN,8037,3,1,70,1404.8641975308642,86.41975308641975
FN,8038,1,1,73,1659.851851851852,90.12345679012346
FN,8038,2,1,75,1737.1234567901236,92.5925925925926
